City,Lat,Lng,Max_Temp,Humidity,Cloudiness,Wind_Speed,Country,Date
waddan,29.16,16.14,72.37,41,0,0.34,LY,1597551978
seminole,28.71,-81.21,80.6,78,1,4.7,US,1597551978
upernavik,72.79,-56.15,40.82,78,38,12.64,GL,1597551786
birjand,32.87,59.22,82.4,13,0,9.17,IR,1597551979
isangel,-19.55,169.27,75.2,64,90,11.41,VU,1597551979
da nang,16.07,108.22,93.2,49,20,10.29,VN,1597551979
port hardy,50.7,-127.42,69.8,73,20,4.7,CA,1597551794
lajeado,-29.47,-51.96,55.99,97,84,3.71,BR,1597551979
tete,-16.16,33.59,57.2,62,0,1.36,MZ,1597551980
storsteinnes,69.24,19.23,48.2,81,100,27.51,NO,1597551980
yellowknife,62.46,-114.35,57.2,58,75,4.7,CA,1597551730
flin flon,54.77,-101.86,52.79,72,43,9.1,CA,1597551980
misratah,32.38,15.09,81.36,52,0,4.92,LY,1597551981
abbotsford,49.06,-122.25,73.4,69,5,5.82,CA,1597551874
carutapera,-1.2,-46.02,77.54,84,34,8.05,BR,1597551981
anadyr,64.75,177.48,59.0,58,50,13.42,RU,1597551981
havre-saint-pierre,50.23,-63.6,50.0,93,1,2.24,CA,1597551982
luderitz,-26.65,15.16,54.82,67,0,22.59,NA,1597551982
abrau-dyurso,44.69,37.59,60.8,59,0,11.18,RU,1597551982
panaba,21.28,-88.27,77.05,92,1,5.03,MX,1597551982
oranjemund,-28.55,16.43,51.04,79,1,10.18,NA,1597551982
orahovac,42.4,20.65,60.8,87,40,1.12,XK,1597551983
acarau,-2.89,-40.12,76.82,80,21,15.75,BR,1597551983
taoudenni,22.68,-3.98,99.32,11,0,7.76,ML,1597551787
voznesenskoye,54.89,42.76,52.18,78,0,5.64,RU,1597551983
aykhal,66.0,111.5,60.8,38,0,4.47,RU,1597551983
greeley,40.42,-104.71,75.99,65,0,5.17,US,1597551984
arinos,-15.92,-46.11,66.61,53,0,1.68,BR,1597551984
obo,5.4,26.49,67.71,98,94,2.57,CF,1597551853
grande prairie,55.17,-118.8,62.6,88,75,6.93,CA,1597551736
nouakchott,18.09,-15.98,80.85,76,58,14.12,MR,1597551820
half moon bay,37.46,-122.43,84.2,72,1,4.7,US,1597551821
lorengau,-2.02,147.27,86.16,64,10,7.83,PG,1597551985
boa vista,2.82,-60.67,82.4,74,75,13.87,BR,1597551985
san blas,21.52,-105.27,81.01,83,68,2.64,MX,1597551985
el tigre,8.89,-64.25,76.77,83,18,10.22,VE,1597551985
otaki,-40.76,175.15,54.0,58,22,1.01,NZ,1597551986
yulara,-25.24,130.99,80.6,14,0,12.75,AU,1597551986
tema,5.67,-0.02,75.2,94,20,10.29,GH,1597551986
kupang,-10.17,123.58,91.4,43,20,8.05,ID,1597551986
sobolevo,54.43,31.9,56.5,93,56,5.66,RU,1597551986
maniitsoq,65.42,-52.9,45.54,65,0,8.88,GL,1597551987
hay river,60.82,-115.8,50.0,87,40,5.82,CA,1597551987
pala,9.36,14.9,71.49,95,93,5.01,TD,1597551987
rio gallegos,-51.62,-69.22,33.8,74,59,26.4,AR,1597551922
seddon,-37.81,144.89,57.2,82,75,16.11,AU,1597551988
saint-paul-les-dax,43.73,-1.05,64.4,88,26,3.36,FR,1597551988
ouadda,8.08,22.4,67.86,95,100,2.53,CF,1597551988
biltine,14.53,20.92,77.0,80,32,6.24,TD,1597551988
longyearbyen,78.22,15.64,42.8,87,75,2.24,SJ,1597551988
galle,6.04,80.22,81.84,77,89,9.44,LK,1597551862
saint-augustin,51.23,-58.65,58.41,68,76,7.23,CA,1597551849
tchaourou,8.89,2.6,69.46,98,91,4.54,BJ,1597551989
padang,-0.95,100.35,82.04,70,98,1.86,ID,1597551989
salinopolis,-0.61,-47.36,79.47,82,38,12.5,BR,1597551990
iskandar,41.55,69.7,84.2,25,68,2.24,UZ,1597551990
codrington,-38.27,141.97,56.82,77,0,12.97,AU,1597551990
gornyy,55.12,83.91,60.42,83,96,3.53,RU,1597551990
mehamn,71.04,27.85,48.94,73,48,19.04,NO,1597551990
motupe,-6.15,-79.71,62.01,82,71,1.7,PE,1597551991
novopokrovka,49.84,36.55,53.6,81,34,4.47,UA,1597551991
mount gambier,-37.83,140.77,55.4,76,75,10.29,AU,1597551991
bangui,4.36,18.55,77.0,94,40,3.36,CF,1597551991
ulaanbaatar,47.91,106.88,59.0,93,40,4.47,MN,1597551831
along,28.17,94.77,78.76,88,99,1.95,IN,1597551992
arona,28.1,-16.68,73.0,73,20,11.41,ES,1597551992
san juan,-31.54,-68.54,47.8,43,0,6.2,AR,1597551992
karratha,-20.74,116.85,77.9,53,9,11.21,AU,1597551992
berdigestyakh,62.1,126.7,53.67,46,88,7.02,RU,1597551993
namibe,-15.2,12.15,59.02,89,16,4.34,AO,1597551993
mosquera,4.71,-74.23,48.2,93,20,6.93,CO,1597551844
mahon,39.89,4.27,77.0,83,20,6.93,ES,1597551993
tezu,27.92,96.17,76.87,86,100,1.81,IN,1597551994
tambilil,5.96,124.67,84.61,71,50,5.26,PH,1597551994
acajutla,13.59,-89.83,73.0,96,86,9.01,SV,1597551994
tokmak,47.25,35.71,59.58,53,20,5.48,UA,1597551787
cuamba,-14.8,36.54,60.26,64,3,3.76,MZ,1597551995
punalur,9.0,76.93,86.0,74,40,5.82,IN,1597551995
atambua,-9.11,124.89,86.34,38,5,0.72,ID,1597551771
coari,-4.08,-63.14,81.43,51,99,1.39,BR,1597551995
esmeralda,21.85,-78.12,80.6,94,2,9.17,CU,1597551996
bereda,43.27,-7.54,57.0,93,77,7.0,ES,1597551996
eregli,37.51,34.05,58.86,47,0,1.45,TR,1597551996
wajid,3.81,43.25,71.49,70,26,19.06,SO,1597551996
inta,66.03,60.17,56.75,56,86,4.85,RU,1597551996
karasjok,69.47,25.51,44.6,75,98,44.96,NO,1597551997
nuristan,35.3,70.83,57.79,36,0,2.55,AF,1597551997
